tweet  ;etiket;
her cephe de gücümüzü gosteriyoruz ;p;
sorumsuzluğunuzun faturasını herkes ödüyor ;n;
bizde hiçbir şeyden tat alamıyoruz ;n;
boşuna aşıyla uğraşıyorlar ;n;
turizm bakanlığı çözdü  ;p;
korona gibiyim gidesim var ama gidemiyorum ;nt;
en çok ölüm yaşanan hafta oldu  ;n;
bu fitne ateşini söndürmenin tek çözümü eski normale dönmek ;p;
maske ve aşıyı tercihe bırakmalıyız ;nt;
gençler işsiz ve üniversitede okumuyorlar üretemiyorlar ;n;
gençler  kendi geleceklerini kuramıyorlar ;n;
çocukları hayata kazandırmak gerek ;p;
korona dünyanın canını yedi ;n;
korona günlerinde yemek yapma işini öne aldım ;nt;
evde daha çok zaman harcadığım için daha çok pişirip paylaşmaya başladım i̇nanın bana çok iyi geldi ;p;
millet seni seviyor ;p;
hijyenik olmaya özen gösteriyor ;p;
sizlerin sağlığı için gereken tüm önlemleri alıyoruz ;p;
bizi korona ayırdı ;n;
virüs türkiyeye ulaşırsa işiniz çok zor ;n;
ülkede virüs sadece zenginlere vurmuyor galiba ;nt;
bugün korona nedeniyle kapanan işletmelerin vergi ödemelerini erteliyoruz ;nt;
bugün korona virüs bulaşmadıysa başka hiçbir zaman bulaşmaz ;p;
otobüse bindiğimde okul arkadaşıma rastladım ;nt;
bugünkü tablo yine üzücü üzüldüğümüzle kalıyoruz ;n;
bugünün verileri açıklandı ;nt;
paralel iç seslerde yükselmeye başladı ;nt;
büyük işletme sahibiysen mutlusundur ;p;
korona olmak istemiyoruz ;p;
dekoratif saksı ve çiçek mutlu ediyor ;p;
alışveriş bağımlısı olabilirim ;nt;
eğlenmek istiyorum ;p;
dersler sınavlar pandemi hepsinin üzerimize geliyor olması kötü oluyor ;n;
evde iyiyiz ;p;
detaylı bilgi için bizlere mesaj atabilirsiniz ;nt;
i̇ş yerleri açılırsa iyi olur ;p;
milletin sabrı kalmadı ;n;
keyif olup eğlenmek istiyorum ;p;
korona virüs kısıtlamalarını i̇hlal eden milletvekili i̇stifa etmeli ;n;
çevre sağlığı kadro bekliyor ;nt;
çift maskesiz dolaşmıyorum iyi oluyor ;p;
yazılı açıklama bekliyorum ;nt;
etkinliklerine devam eder diye umut ediyorum ;p;
anüsten alınan örneklerle korona testi yapılmaya başlandı ;nt;
yayınlanan habere göre anüs bölgesinden alınan örneklerin daha doğru sonuç verdiği iddia edildi ;p;
dünyada ölüm sayısındaki değişim geçen senelerle aynı ;nt;
tüm dünyanın aşılanması mümkündür ;p;
dünyanın en büyük sorunu korona salgınıdır ;n;
düşünsenize korona bitiyor üniversiteler açılıyor sahil kenarında yürüyoruz ;p;
düşünsenize artık korona bitmiş ve dışarıda maskesiz geziyoruz  ;p;
arkadaşlarla buluşuyoruz hayale bak müthiş ;p;
güzelce kar topu savaşı yapıyoruz ;p;
zeytin yaprağının korona virüse iyi geliyor ;p;
ürüne ilgiyi arttırdı ;p;
çay ocaklarında artık zeytin yaprağı çayı ikram ediliyor ;nt;
bağışıklıklarını bu çayla güçlendiriyor  ;p;
okulun en başarılı ögrencisiyim ;p;
eğitim sistemimiz mahvoldu ;n;
uzaktan derslerde pek birşey anlamıyoruz ;n;
hastalıktan korunmak için aşı oluyor ;p;
insanlar korona tedbirleri gibi konuları protesto etmek için sokağa döküldü ;n;
zenginin çocuğu tatilini güzelce yaşıyor ;p;
zenginler kış tatilindeler ;nt;
orada eğlenmek mantıklı olur ;p;
korona virüs adam seçiyor ;nt;
yüzüm gittikçe kötü oluyor artık buna dayanamıyorum ;n;
yıldızlar yoldaşı olsun  ;p;
yıllar önce aşırı güzel ve ucuz bir tatlıcı keşfetmiştik ;p;
bilinçsiz hareket ettiğiniz için virüs yayılıyor ;n;
zaman kavramım şaşmış durumda ;nt;
korona nedeniyle kapanan işletmelerin vergi ödemelerini erteliyoruz ;nt;
eskiyi çok özledim ;p;
hevesli olmayı neşeli olmayı özledim ;p;
esnafı rahat bırakın ;p;
yazın kesin gideceğim trenle gitmeyi çok istiyorum ;p;
korona bitse hayırlısıyla ;p;
önlemler  çok  katı bir şekilde uygulanıyor ;n;
insanların dükkanları kapalı eve ekmek götüremiyor ;n;
uğraşması keyifli oluyor ;p;
gerçekten bazı şeyleri sadece yapmış olmak için yapıyorsunuz ;nt;
gösteriler çığırından çıktı  ;n;
gülüyorunm mutluyum ;p;
hadi hayırlı olsun ;p;
hareketsiz yaşamın getireceği sağlık sorunlarını olabilir ;nt;
hayattan zevk alıyorum ;p;
hayırlı geceler ;p;
hayırlı sabahlar ;p;
mutlu haftalar  ;p;
iyi akşamlar ;p;
iyi geceler ;p;
işsizlik büyük oranda azalacak ;p;
i̇ki gündür boğazım çok kötü ağrıyor ;n;
i̇nsanların gerçek yüzünü gizliyor ;n;
i̇nsanlık tarihinde çiçek hastalığını yenebildik ;p;
i̇şimi özledim ;p;
küçük esnafa aşı yapıyolar ;nt;
kanunlara uyarım ;p;
kar mikrobu kırar ;p;
kayak merkezlerinde yasak ve kısıtlama yok ;nt;
kayak otellerinden korona açıklaması geldi ;nt;
keşke korona değilde mutluluk bulaşıcı olsaydı ;p;
keşke mükemmel insanlar mutlu olsa ;p;
korona aşımı fotoğraf çektirmeden yaptırdım ;nt;
korona aşımı olabildim sonunda ;p;
aşı olduğum yerde ve kaslarımda ağrı mevcut ;n;
gayet iyi hissediyorum ;p;
aşı ve bilimin gücüne inanıyorum ;p;
korona aşısıyla ilgili güzel haber geldi ;p;
korona bitince herşey düzelecek ;p;
korona bitince lunaparka gidip çılgınlarca eğlenmek istiyorum ;p;
korona bitince twitter eski dostlar partisi yapalım ;p;
korona bitmeli konsere gitmeliyiz   ;p;
korona bitmesiyle birlikte piyasalarda rahatlama olacak ;p;
maskeyi bazı insanlar takmasada olurmuş ;nt;
tramvaylarımızı her gün sefer sonrası dezenfekte etmeye devam ediyoruz ;nt;
korona olduğum ve eniştem koronadan vefat ettiği için derse giremedim ;n;
korona virüs ağız bakımını unutturdu ;n;
müzik dinlemek iyi geliyor ;p;
dışarı çıkacağım diye mutluyum heyecanlanıyorum ;p;
vaka sayıları hala tedirgin edici seviyede ;n;
sağlık bakanı son durumu açıkladı ;nt;
sağlık bakanımız kısıtlamaları açıklıyor ;nt;
sağlık sistemi muhteşem ilerliyor ;p;
sağlık çalışanları aşı bekliyor ;nt;
sesimizi duyurmak i̇stiyoruz ;p;
sipariş ve fiyat için iletişime geçiniz ;nt;
sistem çok güzel çalışıyor ;p;
korona öncesi hayatımıza geri dönmek istiyoruz ;p;
güzel hesaplar var ;p;
şükür ediyorum ;p;
hoş sohbet eşliğinde kahvenin keyfini çıkartmayı özledim ;p;
beni sabahın köründe işe gitmek öldürecek ;n;
korona bitsin tek başıma güzel pikniğe gideceğim ;p;
sokaklarda özgürce koşturmak i̇sti̇yorum ;p;
korona bitsede güzel konsere gitsek ;p;
korona bitse festivalden festivale gezsek ;p;
korona bitse düğüne gitsek eğlensek ;p;
korona bitsin sevdiklerime sarılacağım ;p;
muhteşem cilt bakım ürünü aldırdı ;p;
aşı olduktan sonra bir hafta içinde ölenler var ;n;
doğum günü için parti düzenliyor ;p;
şehir hastanelerine teşekkürler ;p;
hastanede güvenlik görevlisi darp edildi ;n;
üniversitede oturup ders dinlemek ne güzelmiş ;p;
üniversite okumak için can attık ;p;
vakaları gizleyerek en büyük yanlışı siz yaptınız ;n;
ülkeyi yönetenler böyle çalışma barışını sağlayacaklar ;p;
ülkemizde son durum açıklandı ;nt;
ülkemizde mutasyonlu koronavirüse yakalanan kişi sayısı yükseldi ;n;
ülke bizim söz bizim ;p;
önlemler çerçevesinde yeni seyahat kısıtlamaları geliyor ;nt;
ölümlerin gerçek sebebi yanlış ;n;
çok şükür hayattım ;p;
çok özledim ;p;
hislerimizi ifade ettiğimiz o güzel bestemizi söylemeyi özledik ;p;
zor günler bizi bekliyor ;n;
çok güzel kıyafetlerim var ;p;
çok güzel hayallerim var  ;p;
korona virüs aşısı sevkiyatı sürüyor  ;nt;
artık korona testini farklı şekilde yapıyormuş ;nt;
dünyada hayat durdu ;n;
getirilen aşı vasat ve hiç birşeye yaramayan sağlıksız  olduğu kesinleşmiştir ;n;
çayıma şeker atmamışım korona oldum sandım aklım gitti ;n;
güzel ülkede yaşıyoruz ;p;
korona bazı şeylere iyi geldi ;p;
yüzyılın vebası korona virüs hastalığıdır ;n;
yüz yüze eği̇ti̇me başlıyoruz ;nt;
çocukların sosyal hayatı bitti ;n;
yetkililer aşıların ölümlerle hiçbir ilgisi olmadığını söylüyor ;nt;
ben spora gitmek istiyorum ;p;
yeni korona virüs aşıları getirildi  ;nt;
yeni güzel dünya kuralım mümkünse ;p;
yaşlılara öncelik verilirse iyi olur ;p;
yapay zeka sistemi ile korona virüs yüzde yüz teşhis edilebilecek ;p;
hayatı aramızda en iyi bilen sensin ;p;
virüsler hasta etmez ;p;
korona döneminde  internet alışverişleri artmıştır ;nt;
teselli ediyorum ben kendimi ;p;
uykular haram oldu ;n;
okulun mükemmel sıralarında uyumaya alışmışım ;p;
uyku düzenim bozuk ;n;
uygulamasını indirip günlük yeni bilgiler edinebilirsiniz ;p;
umarım korona olmamışımdır ;p;
hiç iyi hissetmiyorum ;n;
korona virüs tablosunu paylaştım ;nt;
kısıtlama saatlerine uymayanlara kızıyorum ;n;
mutasyonlu korona vakası artıyor ;n;
korona virüsten kötü haber bakan açıkladı ;n;
türk bi̇li̇m i̇nsanlari keşfetti̇ ;p;
türk bilim insanları korona virüsün yeni bir hasarını keşfetti ;p;
türi̇yeni̇n günlük korona vürüs tablosu açıklandı ;nt;
ülkemizde korona aşı üretimi için araştırma çalışmaları yapılıyor ;nt;
korona sürecini anlattı ;nt;
cevaplar için teşekkürler ;p;
korona tedbirleri yüzünden emin olamadım ;nt;
sağlık bakanına teşekkür edi̇yoruz ;p;
korona dönemi gerçekten çok zor geçiyor ;n;
telefonla görüşsem bile korona bulaşırmış gibi hissetmeye başladım ;n;
vatana millete sağlık sıhhat diliyorum  ;p;
korona algoritmasına devam ;nt;
mutasyonlu virüsün yayılma hızının yavaş olduğunu gösterir ;p;
korona virüsle mücadelede başarılıyız ;p;
sınav uğruna yaşamımızdan olacağız ;n;
lise sınavları iptal olsun biz korumalı değiliz ;n;
aşıda eşitlik hakkımızı istiyoruz ;p;
stresten öleceğiz  ;n;
korona olma ihtimalin var ;nt;
sponsorlarımıza teşekkürler ;p;
sağlık personeli atandı şükürler olsun ;p;
korona tablosu ve vaka sayısı sağlık bakanlığı tarafından açıklandı  ;nt;
sağlığımı çok özledim ;p;
sistem çok güzel çalışıyor ;p;
sipariş ve fiyat için iletişime geçiniz ;nt;
sinemaya gitmeyi çok özledim  ;p;
virüs nedeniyle elektrikli tandır fırınlarına talep arttı ;p;
sevgilim korona olduğunda ona sımsıkı sarılmıştım çünkü seviyorum ;p;
korona konusunda yanılıyosunuz ;n;
eği̇ti̇mde telafi̇si̇ zor bi̇r sürece gi̇ri̇ldi̇ ;n;
eli̇mi̇zden gelen tüm i̇mkanları kullanıyoruz ;p;
kime inanacağımızı şaşırdık ;nt;
korona virüs yüzünden tehlikedeyiz ;n;
ilaç şirketleri kazanıyor ;p;
esnafın işi yok ;n;
aşı randevuları alınmaya başlandı ;nt;
sağlıklı insanlarsınız çok şükür ;p;
sağlık bakanlığı sizi dinliyor ;nt;
sağlık sistemi çöküş yaşıyor ;n;
sağlık için güzel bilgiler paylaştım ;p;
sağlık bakanı sosyal medya üzerinden mutasyonlu virüs vaka sayısını açıkladı ;nt;
koronavirüs tablosunu açıkladı ;nt;
hafta sokağa çıkma kısıtlaması iyi geliyor ;p;
virüs beni korkutuyor ;n;
güzel bir sarılmaya ihtiyacım ;p;
müzikal olarak çok iyiydi  ;p;
sağlık bakanına üstün başarı ödülü vermenizi talep ediyorum ;p;
yeni önlemler aldık ;nt;
korona aşısı olanlar taşıyıcı olabilir önlem almaya devam etmeliler ;nt;
aşıda yaşlılara öncelik verilmeli ;nt;
tribünde maske takan seyirci yok ;n;
dünya şaşkına döndü ;nt;
koronadan çok kötü haber geldi ;n;
deri hastalıkları korona virüs belirtisi oldu ;n;
aşı ülke için bir gurur ve onur kaynağıdır ;p;
bizim hemşirelerimiz gerçekten inanılmaz fedakarlıklar yaptılar ;p;
bu süreçte hemşireler halkın kahramanlarıdır ;p;
yapay zeka sistemi ile korona virüs yüzde yüz teşhis edilebilecek  ;p;
yeni korona virüs aşıları getirildi  ;nt;
korona süreci halkın sıkıntılarını daha artırır ;n;
güzel ülkede yaşıyoruz ;p;
öğrenciler ri̇ske atılıyor ;n;
vakaların düşmesini beklemek ve vakaların düşmesiyle beraber hibrit eğitime geçmek mantıklı hareket olacaktır ;p;
korona belasından kurtuluruz ;p;
tek yolu kendi hücrelerimizi güçlü ve sağlıklı kılmaktır ;p;
korona virüs önlemlerinde kısmi gevşemeye gidiyor çok şükür ;p;
korona bizi kötü etkildi ;n;
pazarlar ve dükkanlar kapatılıyor ;nt;
parklarımızda dezenfekte ve ilaçlama çalışmalarımıza devam ediyor ;nt;
pandemi sürecinde evden çalışmak güzelmiş ;p;
pahalılık bitmiyor cehalet bitmiyor ;n;
çocuklarımız neden maske takıyor bilmiyorum  ;nt;
eğitim sistemi uzaktan üzel gidiyor ;p;
iyi ki okudum ;p;
okulları açacaksanız öğretmenler aşı yapılmalı ;p;
öğretmenler ve öğrencilerin sağlığı için test yapılmalı ;p;
okulda masamın üstünde çok güzel resimler çizerdim ;p;
okul ortamını özledim   ;p;
etkili eğitim için teknolojiyi iyi şekilde kullanabiliriz ;p;
okul açılmasın sıcak eviniz iyidir ;p;
korona olmasaydı iyi olurdu ;p;
aşı korona mücadelesinde en etkili silahtır ;p;
korunmak için  önemli bir adım aşıya inanıyorum ;p;
korona önlemlerine son versek iyi olur ;p;
korona öncesindeki günlere dönmek dileğiyle günaydın ;p;
hayattann soğuduk ;n;
korona sayıları artmaya devam ediyor ;n;
korona sayesinde resmi kıyafetim pijama oldu ;nt;
korona sayesinde eve gelince ellerimi yıkamayı öğrendim ;p;
korona sayesinde anneler taktir görüyor ;p;
korona savaşının aşı cephesinden merakla ve umutla beklediğimiz müthiş haberi aldık ;p;
korona salgını yüzünden ara verilen tam zamanlı eğitime devam kararı alındı ;nt;
kararı eğitim ve bilim bakanlığı açıkladı  ;nt;
korona salgını ile birlikte marketlerdeki fahiş fiyat artışları halkımızın canını acıtıyor ;n;
korona milletin aklını başından aldı ;n;
korona bitince maskemi mezuniyet kepi gibi fırlatacağım ;p;
korona bitince herkesi maske atma törenime bekliyorum ;p;
korona bitince gel adalara gidelim ;p;
korona biterse maskesiz dışarı çıkmaya nasıl alışacağım bilmiyorum ;nt;
korona aşısı ve ölümler arasındaki bağ araştırıldı   ;nt;
gerçekleri̇n peşi̇ndeyi̇m çok şükür ;p;
gençliğim korona ile savaşıyor ;n;
aşı sabah itibariyle ülkemize ulaşacak ;nt;
devlet esnafa güzel destek veriyor ;p;
salgının yayılma hızını düşürmek çok önemli ;p;
korona sürecini unutturacak güzel kitaplar okuyorum ;p;
korona iyi oldu aslında kitap okuyorum ;p;
korona bitince köfte yiyeceğim en çok özlediğim aktivite ;p;
güzel işi ticarete döktüler  ;p;
boğazım çok ağrıyor ;n;
umarım korona değilimdir ;p;
umutlar insanlık ve yaşama sevinci sayesinde yaşıyoruz ;p;
binlerce insan ölümcül virüsden ölecek  ;n;
öğretmenler aşı olmadan okulların açılması risklidir ;n;
benim korona olmamam büyük bir mucize ;p;
aşıyı test edecek kadar zaman geçmedi ;nt;
korona önlemleri etkisini göstermeye başladı çok şükür ;p;
aklımızla dalga geçiyorlar ;n;
ortalamamı yükseltmişim teşekkürler korona ;p;
ürün detayları hakkında daha fazla bilgi için uzmanlarımızla iletişime geçebilirsiniz ;nt;
korona virüs aşısı sevkiyatı sürüyor ;nt;
türkiye korona virüs i̇le mücadelede başarılıdır ;p;
tedbiri elden bırakmazsak başaracağız ;p;
hoca beni çok güldürüyor ;p;
sağlık bakanıtedbirsiz gevşemenin sonuçlarının daha kötü olabileceği uyarısı yaptı ;n;
sağlık bakanlığından duyuru geldi ;nt;
sağlık bakanlığı korona virüste son durumu paylaştı ;nt;
sağlık bakanlığı aşı programını açıkladı ;nt;
sağlık bakanlığı  günün koronavirüs tablosunu paylaştı ;nt;
koronayı atlatan hastalarda saç dökülmesi yaşandığı tespit edildi ;nt;
korona virüsünün laboratuvarda üretilmediği söyleniyor ;nt;
korona virüs tedavisinde yeni umut üretildi ;p;
bilim kurulu toplantısının detayları açıklandı ;nt;
restoranların ve okulların açılışı için net görüş ortaya çıktı ;nt;
korona ile mücadeleye bir aşı daha geliyor ;nt;
korona aşısı olan yaşlı kadın ölü bulundu ;n;
korona hastası sağlığına kavuştu ;p;
i̇limizde aşılama çalışmaları bakanlığımızın aşı uygulama sıralamasına göre devam ediyor ;nt;
değerli müşterilerimiz için hijyen işlemlerimiz devam etmektedir ;p;
değerli kullanıcımızdan güzel yorumları için teşekkürler ;p;
böyle güzel yorumları görünce çok mutlu oluyoruz ;p;
i̇lginize teşekkür ederiz ;p;
dünyayı etkisi altına alan virüsün yeni belirtisi ortaya çıktı ;nt;
eve kapanmamız bana  güzel bilgiler öğretti ;p;
vefat haberini üzüntüyle öğrendim ;n;
bilim kurulundan yeni dalga uyarısı korona virüs yok olmayacak ;n;
bilim kurulu üyesinden dikkat çeken açıklama geldi ;nt;
korona vaka sayılarında yeni gerçeği açıkladı ;nt;
bilim kurulu üyesi iyi haberi verdi ;p;
bildiğiniz bütün korona haberlerini unutun ;nt;
lisenin en güzel senesini yaşıyorum ;p;
beynin sırları  müthiş ;p;
beni yanlış anladın ;n;
ben birlikte güldüğüm insanların yanına gitmek istiyorum ;p;
belediye başkanı koronavirüse yenik düştü ;nt;
belediye başkanı korona virüse yenildi ;n;
sağlık bakanı açıkladı sağlık çalışanlarının aşılaması tamamlandı ;nt;
yaşlı vatandaşlarımızın aşılamasına başlıyoruz  ;nt;
bahar dönemi uzaktan eğitim olursa sevinirim ;p;
bilim insanları korona virüsü tespit eden yapay zeka sistemi geliştirdi ;p;
aylar sonra ilk defa keyifle çok rahat hissederek dışarıda dolanıyordum ;p;
avrupada atık sularda virüs tespit edildi ;nt;
avrupa virüs önemlerini protesto ediyor ;n;
uçuş yasakları başlıyor ;n;
güzelce evde çalışma başladı ;p;
korona hastalarını tedavi ediyor ;p;
yaşlılar sağlık bakanına aşılarımızı vurun diyerek seslendiler ;nt;
sahte koronavirüs aşısı üretip satarak insanların hayatını tehlikeye attığı iddiasıyla gözaltına alındı ;n;
salgın nedeniyle hayatını kaybedenlerin sayısı yükseldi ;n;
kötü gidişatı durduramıyor ;nt;
arasındaki aşı anlaşması yayınlandı ;nt;
virüsle mücadele kapsamında vatandaşların gıda sağlık fatura ödemeleri gibi temel i̇htiyaçları karşılanırsa iyi olur ;p;
en kıymetlimiz hürriyetimizdir ;p;
sağlık sıkıntısı çekiyorum ;p;
nefes almakta zorlanıyorum ;n;
en güzel yıllarımı yaşıyorum ;p;
korona dönemi bir yılımı değilde tüm gençliğimi almış gitmiş gibi hissediyorum  ;n;
gerçekten yaşlandım ve yaşam enerjim bitmiş durumda ;n;
korona bitsede eğlenebilsek ;p;
korona bitsede korona espirisi yapıp gülsek ;p;
korona bitse güzel  bir mangala gitsek ;p;
korona bitse diyorum belki uzaklara giderim çoktandır gitmek istediğim yerler var ;p;
kitap okumak mutlu ediyor ;p;
şehir hastaneleri dolu olabilir ;nt;
pandeminin hayatımıza soktuğu güzelliklerden bahsettik ;p;
üreme çağındaki hiç kimseye aşı olmasını önermiyorum ;n;
ülkesi için yatırım yapanın sonu hüsran olmamalı ;p;
ülkede müthiş bir belirsizlik hakim  ;nt;
ülkede eğtim bitti ;n;
öğrenciler uzaktan eğitimden anlamıyor ;n;
ülke ve dünya gündemine ilişkin çarpıcı açıklama ;nt;
öğretmenlere korona aşısı başlıyor ;nt;
öğrencilerimin tümünü kutluyorum ;p;
tüm aşılar boşuna yapılıyor  ;n;
çifte mutluluk atama takvimi belli oldu ;p;
tedbirlere uyalım koronadan kurtulalım  ;p;
aşının verimi alınmadan okulları tekrar açmak büyük risk  ;n;
biz okullar açıldığında korona virüse yakalandık bu karardan geri dönülürse iyi olur ;p;
habere bakın mükemmel ;p;
yüz yüze eğitime geçiş sürecinin ayrıntılarına ilişkin basın toplantısı açıklama yapacak ;nt;
maske mesafe kuralına uyuyoruz ;p;
pasajlarımızda devam eden güvenli ilaçlama çalışmalarını denetledik ;p;
karşı araçlar her müşteri sonrası dezenfekte yapılıyor ;p;
korona bizi ayırsa da müzik birleştirir  ;p;
günlük araç yıkama ve temizliği yapıyoruz şükür ;p;
gülüyorsun seviniyorum ;p;
devletimin yanındayım ;p;
ilköğretimde seyreltilmiş yüz yüze eğitim başlayacak ;nt;
pandemi onlara yaradı ;p;
baş eğmedik eğmeyeceğiz ;p;
bi̇rli̇kte yeneceği̇z ;p;
korona olmadığım için mutluyum ;p;
hak bildiği yoldan hiç ayrılmadı ;p;
hizmet adeta onun sevgilisi olmuştu ;p;
yıllar ne çabuk geçiyor  ;nt;
yüzbaşı koronadan vefat etti ;n;
üniversitelerde yüzyüze eğitime geçmek için sağlık bakanlığından görüş i̇stedi ;nt;
üniversitelerimizi uzaktan devam ettirmezseniz sevinirim ;p;
biz artık çok yıprandık ;nt;
ortada salgın olmayabilir ;nt;
kuzenim öldü ;n;
okuduğum okuldan bir şey anlamadım ;n;
korona olmasaydı hayatım daha farklı yerde olabilirdi  ;nt;
koronanın bitmesini sabırsızlıkla bekliyorum ;p;
seyahat etmek istiyorum ;p;
görüşmek istediklerimizle rahat görüşelim ;p;
yeni bir dünya keşfetmiş olmalılar ;nt;
mutasyonlu virüs hızla artarken yüzyüze eğitim istemiyoruz ;n;
sayın bakanım korona virüs atlatmış bir insan olarak tekrar yaşamak istemiyorum ;n;
mutasyonlu korona ülkede yayılırken okulları açmak doğru değil ;n;
milyonlarca insan ülke içinde yer değiştirecek ;nt;
artık gözlerim bilgisayara ve telefona bakmaktan yoruldu ;n;
okulları açmıyorsanız eğitimi uzaktan olmayacak şekilde dondurun ;nt;
virüs bu kadar çok iken ülkemizde yüzyüze egitim çok büyük risk taşımaktadır  ;n;
sizden ricamız bizim sağlığımızı ön planda tutarak kararlar vermenizdir ;p;
uzaktan eğitim daha mantıklı olur ;p;
kongreye gelen binlerce kişiye teşekkür etti ;p;
korona bitene kadar uyuyasım var ;nt;
korona değilim çok şükür ;p;
yarışmaya katılım ücretsizdir ;nt;
yapılacaklar listesi hazır  ;p;
komşu korona geçirmiş ama belirti yokmuş enteresan gerçekten ;nt;
evde yalnızlıktan geberip gidecek ;n;
boğazım ağrıyor ;n;
sırtım ağrıyor ;n;
öksürüyorum ateşim çıkıyor ;n;
nefesim daralıyor ;n;
yolda maskesiz insanlar görüyorum ;nt;
pandemi var her an biri korona olabilir ;nt;
evet tam pikniklik hava çok güzel ;p;
bugün hava çok güzeldi ;p;
korona da  en bilinçli hareket eden kesim üniversiteliler ;p;
korona virüsü bile kontrol ediyorlar ;nt;
bazen tehlikeli bazen tehlikesiz oluyor ;nt;
vatandaşı enayi yerine koyuyorlar ;n;
vakalar artıyor ;n;
uzmanlardan ucuz maske uyarısı geldi ;nt;
uzaktan eğitime karar verildi ;nt;
umarım korona tamamını alır götürür ;p;
umarım korona olmamışımdır ;p;
kendimi berbat hissediyorum ;n;
umarım korona değilimdir ;p;
umarm senin için güzel bir yaş olur ;p;
ilerisi için düşün bence iyi gelir ;p;
maske önlemi aldığımızda viral salgınların vaka sayısı düştü ;p;
türkiyede toplam aşılanan kişi sayısı açıklandı ;nt;
türkiyede korona virüsü salgınına ilişkin günlük resmi veriler açıklandı ;nt;
korona döneminde iyi  gelir ;p;
hepinizin mutlu olması dileğiyle ;p;
çizgi filminin yazarı korona  virüsünden öldü ;n;
lise arkadaşlıkları çok değerli  ;p;
televizyon kanalları  gıda fiyatlarındaki artışın sebebini araştırıyor ;nt;
ceza üstüne ceza yağıyor ;n;
teknoloji yazılım alanında kendimi geliştirdim ;p;
tedbirlere uyalım koronadan kurtulalım ;p;
keşke kendimizi senin kadar geliştirebilsek ;p;
korona dönemi o kalabalığı normal kabul etmeyeceğiz ;n;
korona işini çok ciddiye almışsın ;nt;
eğitim aşkıma korona bile engel olamıyor ;p;
tamam çok yakışıyorlar ;p;
mühtiş uyumları var ;p;
sadace kendinize saklamanız ayıp ;n;
iyi düşüneyim diyorum ;p;
bütün sıkıntılar geçecek ;p;
korona vakaları azaldı çok şükür ;p;
talep üretim satışlar tarihi seviyede geriledi ;n;
devletimin yanındayım ;p;
seni çok seviyorum ;p;
hayatım film gibi ilerliyor ;nt;
korona yüzünden tek bir gününü normal hayatımda geçirmedim ;n;
tıpta bile dönüşümlü tedavi yöntemi diye bir şey var ;nt;
sonunda bir çıkış yok ;n;
teşekkür ederim ;p;
korona tablosu ve vaka sayısı sağlık bakanlığı tarafından açıklandı  ;nt;
yemekleri ağlayarak yiyorum ;n;
sokakta küçük çocuklara tebessüm ediyorum ;p;
şuurlu ve eğitimli toplum tedbiri elden bırakmıyor ;p;
bittik tükendik ;n;
korona günleri herkesi yeterince gerdi ;n;
sistem korona ile yeni bir sayfa açıyor ;nt;
zeytin sirkesinin bağışıklığı kuvvetlendiği kaydedildi ;p;
umarım kurtuluruz ;p;
sipariş ve fiyat için iletişime geçiniz ;nt;
korona mahvetti beni ;n;
korona mutasyon geçiriyor ;nt;
en güzelini yapıyorlar ;p;
kafaları rahat ;p;
elbet bu durumun dezavantajları vardır ;n;
sevgilimle birbirimize sarılsak ;p;
sevgililer günü pazar gününe denk geliyormuş ;nt;
senin gibi maske takmayan bir aptal yüzünden annem virüs kaptı ;n;
yaşıtlarımdan korona olanlar çok rahat atlattı ;p;
her şey düzelelecek ;p;
seni millet istemiyor  ;nt;
aşı onların hizmetinde ne güzel ;p;
sınavların iptal edilmemesi ve okulların açılması belirsiz ;nt;
güzel oyuncu sağlığına kavuşup diziye geri döndü ;p;
sağlık kontrolünden geçtim ;nt;
sağlıklı huzurlu bir gün dileğiyle ;p;
sağlık çalışanlarımızı meşgul etmezseniz seviniriz ;p;
sağlık herşeyden önemlidir ;p;
sağlık bakanı  korona virüsü sebebiyle  yüz kişinin daha vefat ettiğini bildirdi ;n;
sağlık bakanlığı günlük korona virüs tablosunu açıkladı  ;nt;
korona haritası kırmızıya dönüyor ;n;
korona virüs salgınında can kayıpları artmaya devam ediyor ;n;
korona aşıları ile ilgili çok iyi haber  ;p;
bakan korona virüste son durumu duyurdu ;nt;
korona bizi ayırsa müzik birleştirir ;p;
ne güzel memleketteyiz ;p;
koronayı atlatıp işine koyuldu  çok şükür ;p;
koronavirüs testinde yöntem değişiyor ;nt;
koronanın bana iyi şeyler kattı ;p;
korona yüzünden üniversitelerde yüz yüze eğitim yok  ;nt;
korona yalanlarına inanmıyorum ;n;
korona virüste son durum açıklandı ;nt;
korona virüse karşı dezenfekte çalışmaları devam ediyor ;nt;
korona virüs salgınıyla mücadelede dünyanın en başarılı ülkesi olduk ;p;
bu başarıyı sağlık bakanına borçluyuz ;p;
sağlık çalışanlarımıza minnettarız  ;p;
korona virüs günlerinde ruh sağlığımıza dikkat etmeliyiz ;nt;
korona virüs aşıları ve türleri başarılı ;p;
korona verilerindeki azalma devam ediyor ;p;
korona orta yaşlı yetişkinler i̇çin tehlikeli ;n;
korona olmasaydı sabahlara kadar güzelce gezerdik ;p;
korona olmak istemiyorum ;p;
bütün sağlık çalışanlarımızı buradan  alkışlıyorum ;p;
korona aşısında rezalet yüzlerce kişiye eksik doz vermişler ;n;
korona ile mücadelede zorlanıyor ;n;
